care_purpose,morbidity,etiology,major_clinical_category
,S469,S911,
,S481,S913,
,S497,S917,
,S500,S920,
,S501,S9200,
,S517,S9201,
,S519,S921,
,S520,S9210,
,S5200,S9211,
,S5201,S9220,
,S521,S9221,
,S5210,S923,
,S522,S9230,
,S523,S9231,
,S5230,S9250,
,S524,S927,
,S5240,S9270,
,S5241,S9271,
,S525,S929,
,S5250,S9290,
,S5251,S930,
,S526,S932,
,S5260,S933,
,S5261,S934,
,S527,S935,
,S5270,S936,
,S528,S948,
,S5280,S950,
,S5281,S962,
,S529,S967,
,S5290,S971,
,S531,S978,
,S542,S980,
,S547,S981,
,S579,S983,
,S602,S984,
,S608,S997,
,S609,T003,
,S610,T006,
,S618,T022,
,S620,T0220,
,S6200,T0221,
,S621,T023,
,S6220,T0230,
,S6221,T0231,
,S6230,T024,
,S6241,T0240,
,S625,T0241,
,S6250,T025,
,S6251,T0250,
,S627,T0251,
,S6270,T026,
,S628,T0260,
,S6280,T0261,
,S6281,T056,
,S635,T062,
,S636,T065,
,S641,T068,
,S661,T08,
,S663,T08+0,
,S668,T093,
,S680,T094,
,S681,T10+0,
,S682,T113,
,S698,T116,
,S700,T12+0,
,S701,T12+1,
,S707,T130,
,S708,T135,
,S711,T172,
,S720,T178,
,S7200,T182,
,S7201,T189,
,S721,T200,
,S7210,T210,
,S722,T213,
,S7220,T223,
,S723,T233,
,S7230,T242,
,S724,T243,
,S7240,T247,
,S7270,T253,
,S728,T281,
,S7280,T286,
,S729,T293,
,S7290,T300,
,S730,T311,
,S740,T361,
,S748,T367,
,S751,T375,
,S758,T393,
,S759,T398,
,S760,T402,
,S761,T423,
,S762,T424,
,S763,T428,
,S780,T430,
,S781,T432,
,S789,T435,
,S797,T438,
,S798,T439,
,S800,T451,
,S801,T455,
,S807,T457,
,S810,T460,
,S817,T462,
,S818,T469,
,S819,T480,
,S820,T485,
,S8200,T508,
,S8201,T509,
,S821,T510,
,S8210,T58,
,S8211,T638,
,S822,T652,
,S8220,T66,
,S8221,T671,
,S823,T673,
,S8230,T71,
,S8231,T741,
,S824,T750,
,S8240,T751,
,S825,T754,
,S8250,T784,
,S8251,T790,
,S826,T791,
,S8260,T793,
,S8261,T794,
,S827,T795,
,S8270,T796,
,S8271,T800,
,S828,T801,
,S8280,T802,
,S8281,T808,
,S829,T810,
,S8291,T811,
,S830,T812,
,S831,T813,
,S832,T814,
,S833,T817,
,S834,T818,
,S835,T820,
,S836,T821,
,S837,T822,
,S841,T823,
,S849,T825,
,S851,T826,
,S855,T827,
,S857,T828,
,S858,T830,
,S860,T835,
,S862,T840,
,S867,T841,
,S878,T842,
,S880,T843,
,S881,T844,
,S889,T845,
,S897,T846,
,S898,T847,
,S900,T848,
,S903,T850,
,S910,T851,
,S911,T855,
,S912,T8550,
,S913,T8558,
,S920,T856,
,S9200,T857,
,S9201,T858,
,S9210,T860,
,S922,T862,
,S9220,T863,
,S923,T874,
,S9230,T875,
,S925,T876,
,S927,T887,
,S9270,T888,
,S9271,T901,
,S929,T904,
,S9290,T905,
,S930,T909,
,S933,T911,
,S934,T912,
,S936,T913,
,S950,T921,
,S960,T922,
,S961,T924,
,S962,T925,
,S967,T929,
,S968,T931,
,S969,T932,
,S978,T933,
,S980,T934,
,S981,T935,
,S982,T938,
,S983,T939,
,S997,T940,
,T003,T941,
,T006,T950,
,T012,T952,
,T013,T953,
,T016,T954,
,T0220,T958,
,T023,T981,
,T0231,T983,
,T024,,
,T0240,,
,T025,,
,T026,,
,T0260,,
,T064,,
,T065,,
,T068,,
,T08,,
,T08+0,,
,T094,,
,T098,,
,T110,,
,T111,,
,T12,,
,T12+0,,
,T130,,
,T131,,
,T136,,
,T138,,
,T179,,
,T189,,
,T201,,
,T202,,
,T203,,
,T212,,
,T213,,
,T220,,
,T222,,
,T223,,
,T230,,
,T232,,
,T233,,
,T240,,
,T242,,
,T243,,
,T252,,
,T253,,
,T262,,
,T269,,
,T288,,
,T290,,
,T292,,
,T293,,
,T302,,
,T310,,
,T312,,
,T3141,,
,T381,,
,T402,,
,T420,,
,T421,,
,T424,,
,T428,,
,T432,,
,T434,,
,T435,,
,T438,,
,T439,,
,T451,,
,T455,,
,T457,,
,T460,,
,T462,,
,T487,,
,T492,,
,T501,,
,T507,,
,T508,,
,T509,,
,T510,,
,T566,,
,T597,,
,T636,,
,T66,,
,T68,,
,T740,,
,T741,,
,T749,,
,T751,,
,T783,,
,T784,,
,T792,,
,T793,,
,T794,,
,T795,,
,T796,,
,T801,,
,T802,,
,T810,,
,T811,,
,T812,,
,T813,,
,T814,,
,T817,,
,T818,,
,T820,,
,T821,,
,T822,,
,T823,,
,T824,,
,T825,,
,T826,,
,T827,,
,T828,,
,T830,,
,T831,,
,T835,,
,T840,,
,T841,,
,T842,,
,T843,,
,T844,,
,T845,,
,T846,,
,T847,,
,T848,,
,T850,,
,T851,,
,T852,,
,T853,,
,T855,,
,T8558,,
,T856,,
,T857,,
,T858,,
,T860,,
,T8600,,
,T862,,
,T863,,
,T864,,
,T868,,
,T873,,
,T874,,
,T875,,
,T876,,
,T886,,
,T887,,
,T888,,
,T900,,
,T902,,
,T905,,
,T912,,
,T913,,
,T920,,
,T922,,
,T929,,
,T931,,
,T932,,
,T940,,
,T941,,
,T950,,
,T951,,
,T952,,
,T953,,
,T958,,
,T96,,
,T97,,
,T982,,
,T983,,
,Z204,,
,Z21,,
,Z524,,
,Z525,,
,Z567,,
,Z578,,
,Z580,,
,Z588,,
,Z590,,
,Z591,,
,Z594,,
,Z597,,
,Z598,,
,Z599,,
,Z601,,
,Z602,,
,Z604,,
,Z608,,
,Z609,,
,Z620,,
,Z621,,
,Z626,,
,Z630,,
,Z631,,
,Z632,,
,Z633,,
,Z634,,
,Z635,,
,Z636,,
,Z637,,
,Z638,,
,Z639,,
,Z652,,
,Z654,,
,Z659,,
,Z720,,
,Z721,,
,Z723,,
,Z724,,
,Z730,,
,Z732,,
,Z736,,
,Z740,,
,Z7400,,
,Z741,,
,Z742,,
,Z743,,
,Z748,,
,Z749,,
,Z750,,
,Z751,,
,Z752,,
,Z754,,
,Z755,,
,Z768,,
,Z810,,
,Z811,,
,Z820,,
,Z824,,
,Z850,,
,Z853,,
,Z858,,
,Z861,,
,Z865,,
,Z867,,
,Z874,,
,Z888,,
,Z890,,
,Z891,,
,Z892,,
,Z893,,
,Z894,,
,Z895,,
,Z896,,
,Z897,,
,Z899,,
,Z900,,
,Z901,,
,Z902,,
,Z903,,
,Z904,,
,Z905,,
,Z906,,
,Z907,,
,Z908,,
,Z911,,
,Z915,,
,Z9150,,
,Z916,,
,Z918,,
,Z921,,
,Z922,,
,Z924,,
,Z926,,
,Z928,,
,Z930,,
,Z931,,
,Z932,,
,Z933,,
,Z934,,
,Z935,,
,Z936,,
,Z938,,
,Z939,,
,Z940,,
,Z941,,
,Z942,,
,Z943,,
,Z944,,
,Z945,,
,Z946,,
,Z947,,
,Z9480,,
,Z94800,,
,Z94801,,
,Z9488,,
,Z949,,
,Z950,,
,Z951,,
,Z952,,
,Z953,,
,Z954,,
,Z955,,
,Z958,,
,Z959,,
,Z960,,
,Z961,,
,Z962,,
,Z963,,
,Z964,,
,Z966,,
,Z967,,
,Z968,,
,Z969,,
,Z970,,
,Z971,,
,Z978,,
,Z980,,
,Z981,,
,Z982,,
,Z988,,
,Z990,,
,Z991,,
,Z991+0,,
,Z991+1,,
,Z992,,
,Z992+0,,
,Z992+8,,
,Z993,,
,Z998,,
,Z999,,
