care_purpose,morbidity,etiology,major_clinical_category
,D440,D570,
,D441,D589,
,D443,D591,
,D4440,D594,
,D448,D598,
,D45,D600,
,D460,D608,
,D461,D609,
,D462,D611,
,D463,D612,
,D464,D613,
,D467,D619,
,D469,D62,
,D471,D630,
,D472,D638,
,D473,D648,
,D479,D649,
,D480,D65,
,D486,D683,
,D487,D689,
,D500,D690,
,D508,D693,
,D509,D694,
,D510,D695,
,D511,D696,
,D513,D70,
,D518,D733,
,D519,D751,
,D520,D752,
,D528,D760,
,D529,D763,
,D539,D801,
,D552,D809,
,D558,D848,
,D569,D860,
,D572,D862,
,D589,D868,
,D590,D869,
,D591,D890,
,D592,D891,
,D594,E02,
,D598,E032,
,D599,E035,
,D600,E038,
,D601,E039,
,D611,E040,
,D612,E041,
,D613,E042,
,D618,E048,
,D619,E049,
,D62,E050,
,D630,E051,
,D638,E052,
,D640,E055,
,D641,E058,
,D642,E059,
,D643,E063,
,D648,E065,
,D649,E078,
,D65,E100,
,D66,E101,
,D683,E102,
,D684,E103,
,D690,E104,
,D692,E105,
,D693,E106,
,D695,E107,
,D696,E109,
,D70,E110,
,D71,E112,
,D728,E113,
,D730,E114,
,D731,E115,
,D735,E116,
,D750,E117,
,D758,E119,
,D760,E125,
,D801,E127,
,D860,E129,
,D862,E131,
,D869,E132,
,D890,E134,
,E032,E135,
,E035,E136,
,E038,E137,
,E039,E139,
,E040,E144,
,E041,E145,
,E042,E146,
,E049,E147,
,E050,E149,
,E051,E160,
,E052,E161,
,E055,E162,
,E058,E168,
,E059,E200,
,E060,E210,
,E063,E213,
,E100,E222,
,E101,E232,
,E102,E233,
,E103,E240,
,E104,E249,
,E105,E271,
,E106,E273,
,E107,E274,
,E109,E328,
,E110,E340,
,E111,E41,
,E112,E42,
,E113,E43,
,E114,E440,
,E115,E441,
,E116,E46,
,E117,E512,
,E119,E538,
,E120,E539,
,E121,E559,
,E127,E568,
,E130,E631,
,E132,E639,
,E135,E65,
,E137,E660,
,E139,E6600,
,E140,E6601,
,E141,E661,
,E144,E6610,
,E147,E662,
,E149,E6620,
,E15,E6621,
,E160,E668,
,E161,E6680,
,E162,E669,
,E210,E6690,
,E212,E6691,
,E220,E702,
,E222,E713,
,E230,E749,
,E232,E752,
,E242,E755,
,E260,E762,
,E268,E763,
,E272,E780,
,E273,E781,
,E274,E782,
,E41,E785,
,E43,E788,
,E440,E789,
,E441,E790,
,E45,E791,
,E46,E802,
,E509,E831,
,E512,E835,
,E519,E840,
,E538,E841,
,E569,E849,
,E60,E851,
,E631,E854,
,E639,E858,
,E65,E859,
,E660,E86,
,E6600,E870,
,E6601,E871,
,E661,E872,
,E6610,E875,
,E6611,E876,
,E662,E878,
,E6620,E880,
,E6621,E888,
,E668,E890,
,E6680,F000,
,E6681,F00000,
,E669,F00001,
,E6690,F00002,
,E6691,F00032,
,E701,F00042,
,E722,F001,
,E740,F0010,
,E752,F00100,
,E760,F00101,
,E763,F00102,
,E780,F00110,
,E781,F00112,
,E785,F00132,
,E788,F00141,
,E789,F00142,
,E802,F002,
,E831,F00202,
,E835,F009,
,E840,F00901,
,E841,F0094,
,E851,F010,
,E853,F01000,
,E854,F01002,
,E859,F01022,
,E86,F01042,
,E870,F011,
,E871,F01100,
,E872,F012,
,E875,F01202,
,E876,F013,
,E877,F01301,
,E878,F01302,
,E880,F0131,
,E881,F018,
,E888,F01801,
,E890,F01811,
,E891,F019,
,E892,F0190,
,E893,F01901,
,E894,F01902,
,E898,F020,
,E90,F0223,
,F000,F023,
,F00001,F0230,
,F0001,F02302,
,F00011,F02332,
,F00012,F028,
,F00022,F02810,
,F00031,F02811,
,F001,F02842,
,F0010,F03,
,F00100,F03+0,
,F00101,F03+00,
,F00102,F03+01,
,F00111,F03+02,
,F00112,F03+12,
,F0012,F03+2,
,F00122,F03+3,
,F0013,F03+31,
,F00132,F03+32,
,F00142,F03+4,
,F002,F03+40,
,F00201,F03+41,
,F0023,F03+42,
,F009,F04,
,F00902,F050,
,F00941,F051,
,F00942,F058,
,F010,F059,
,F0100,F062,
,F01000,F063,
,F01001,F0631,
,F0101,F064,
,F011,F066,
,F0111,F067,
,F01111,F0670,
,F012,F0671,
,F013,F068,
,F0130,F069,
,F01300,F070,
,F01301,F071,
,F01302,F072,
,F0131,F078,
